[✅ 정답] 이미지 0: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 33: 예측=공구·액세서리, 실제=전기·전자기기
[✅ 정답] 이미지 34: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 35: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 36: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 37: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 38: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 39: 예측=전기·전자기기, 실제=전기·전자기기
[❌ 오답] 이미지 40: 예측=매트·침낭, 실제=화로대·버너
[✅ 정답] 이미지 41: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 42: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 43: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 44: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 45: 예측=냉·난방용품, 실제=공구·액세서리
[✅ 정답] 이미지 46: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 47: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 48: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 49: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 50: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 51: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 52: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 53: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 54: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 55: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 56: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 57: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 58: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 59: 예측=냉·난방용품, 실제=매트·침낭
[✅ 정답] 이미지 60: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 61: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 62: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 63: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 64: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 65: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 66: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 67: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 68: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 69: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 70: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 71: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 72: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 73: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 74: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 75: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 76: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 77: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 78: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 79: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 80: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 81: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 82: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 83: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 84: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 85: 예측=식기·주방, 실제=테이블·체어
[✅ 정답] 이미지 86: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 87: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 88: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 89: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 90: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 91: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 92: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 93: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 94: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 95: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 96: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 97: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 98: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 99: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 100: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 101: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 102: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 103: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 104: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 105: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 106: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 107: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 108: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 109: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 110: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 111: 예측=텐트·타프, 실제=텐트·타프
[❌ 오답] 이미지 112: 예측=전기·전자기기, 실제=냉·난방용품
[✅ 정답] 이미지 113: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 114: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 115: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 116: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 117: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 118: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 119: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 120: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 121: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 122: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 123: 예측=전기·전자기기, 실제=전기·전자기기
[❌ 오답] 이미지 124: 예측=텐트·타프, 실제=화로대·버너
[✅ 정답] 이미지 125: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 126: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 127: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 128: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 129: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 130: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 131: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 132: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 133: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 134: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 135: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 136: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 137: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 138: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 139: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 140: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 141: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 142: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 143: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 144: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 145: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 146: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 147: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 148: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 149: 예측=냉·난방용품, 실제=냉·난방용품
[❌ 오답] 이미지 150: 예측=식기·주방, 실제=냉·난방용품
[✅ 정답] 이미지 151: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 152: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 153: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 154: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 155: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 156: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 157: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 158: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 159: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 160: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 161: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 162: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 163: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 164: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 165: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 166: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 167: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 168: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 169: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 170: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 171: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 172: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 173: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 174: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 175: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 176: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 177: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 178: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 179: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 180: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 181: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[❌ 오답] 이미지 182: 예측=식기·주방, 실제=냉·난방용품
[✅ 정답] 이미지 183: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 184: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 185: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 186: 예측=전기·전자기기, 실제=전기·전자기기
[❌ 오답] 이미지 187: 예측=매트·침낭, 실제=가방·박스·웨건
[✅ 정답] 이미지 188: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 189: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 190: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 191: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 192: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 193: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 194: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 195: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 196: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 197: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 198: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 199: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 200: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 201: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 202: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 203: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 204: 예측=식기·주방, 실제=식기·주방
[❌ 오답] 이미지 205: 예측=전기·전자기기, 실제=식기·주방
[✅ 정답] 이미지 206: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 207: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 208: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 209: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 210: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 211: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 212: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 213: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 214: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 215: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 216: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 217: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 218: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 219: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 220: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 221: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 222: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 223: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 224: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 225: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 226: 예측=냉·난방용품, 실제=냉·난방용품
[❌ 오답] 이미지 227: 예측=가방·박스·웨건, 실제=화로대·버너
[✅ 정답] 이미지 228: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 229: 예측=테이블·체어, 실제=테이블·체어
[❌ 오답] 이미지 230: 예측=냉·난방용품, 실제=매트·침낭
[✅ 정답] 이미지 231: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 232: 예측=화로대·버너, 실제=화로대·버너
[❌ 오답] 이미지 233: 예측=가방·박스·웨건, 실제=매트·침낭
[✅ 정답] 이미지 234: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 235: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 236: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 237: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 238: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 239: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 240: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 241: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 242: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 243: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 244: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 245: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 246: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 247: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 248: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 249: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 250: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 251: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 252: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 253: 예측=식기·주방, 실제=식기·주방
[❌ 오답] 이미지 254: 예측=식기·주방, 실제=화로대·버너
[✅ 정답] 이미지 255: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 256: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 257: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 258: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 259: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 260: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 261: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 262: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 263: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 264: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 265: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 266: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 267: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 268: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 269: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 270: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 271: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 272: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 273: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 274: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 275: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 276: 예측=화로대·버너, 실제=화로대·버너
[❌ 오답] 이미지 277: 예측=공구·액세서리, 실제=식기·주방
[✅ 정답] 이미지 278: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 279: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 280: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 281: 예측=공구·액세서리, 실제=공구·액세서리
[❌ 오답] 이미지 282: 예측=냉·난방용품, 실제=매트·침낭
[✅ 정답] 이미지 283: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 284: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 285: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 286: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 287: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 288: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 289: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 290: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 291: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 292: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 293: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 294: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 295: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 296: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 297: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 298: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 299: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 300: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 301: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 302: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 303: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 304: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 305: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 306: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 307: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 308: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 309: 예측=텐트·타프, 실제=텐트·타프
[❌ 오답] 이미지 310: 예측=냉·난방용품, 실제=전기·전자기기
[✅ 정답] 이미지 311: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 312: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 313: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 314: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 315: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 316: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 317: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 318: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 319: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 320: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 321: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 322: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 323: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 324: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 325: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 326: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 327: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 328: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 329: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 330: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 331: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 332: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 333: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 334: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 335: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 336: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 337: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 338: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 339: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 340: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 341: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 342: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 343: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 344: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 345: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 346: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 347: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 348: 예측=전기·전자기기, 실제=전기·전자기기
[❌ 오답] 이미지 349: 예측=냉·난방용품, 실제=식기·주방
[✅ 정답] 이미지 350: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 351: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 352: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 353: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 354: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 355: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 356: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 357: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 358: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 359: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 360: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 361: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 362: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 363: 예측=화로대·버너, 실제=화로대·버너
[❌ 오답] 이미지 364: 예측=랜턴, 실제=냉·난방용품
[✅ 정답] 이미지 365: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 366: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 367: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 368: 예측=텐트·타프, 실제=텐트·타프
